"region","region_jpn","type","country","producer","producer_jpn","vintage","store_price","name","name_jpn","sort_order","general_region","aoc_order"
"Torentino Alto-Adige","トレンティーノ・アルト・アディジェ州","3","5","Franz Haaz","フランツ・ハース","2012","6350","D.O.C. Alto Adige Gewurztraminer","D.O.C. アルト・アディジェ・ゲヴェルツトラミネール","1001","20","0"
"Torentino Alto-Adige","トレンティーノ・アルト・アディジェ州","3","5","Franz Haaz","フランツ・ハース","2012","5780","D.O.C. Alto Adige Pinot Bianco","D.O.C. アルト・アディジェ・ピノ・ビアンコ","1002","20","0"
"Torentino Alto-Adige","トレンティーノ・アルト・アディジェ州","5","5","Franz Haaz","フランツ・ハース","2011","7150","D.O.C. Alto Adige Pinot Nero","D.O.C. アルト・アディジェ・ピノ・ネーロ","1003","20","0"
"Bourgogne","ブルゴーニュ地方","1","1","Dom.Henri Boillot","ドメーヌ・アンリ・ボワイヨ","S.A.","6800","Crémant de Bourgogne Brut","クレマン・ド・ブルゴーニュ・ブリュット","1004","3","700"
"Bourgogne","ブルゴーニュ地方","1","1","Dom. François Mikulski","ドメーヌ・フランソワ・ミクルスキ","S.A.","5950","Crémant de Bourgogne Brut","クレマン・ド・ブルゴーニュ・ブリュット","1005","3","700"
"Champagne / Montagne de Reims","シャンパーニュ地方 / モンターニュ・ド・ランス地区","1","1","Bouzy","ブジィ","S.A.","7800","André Clouet Grand Cru Brut Gurande Réserve","アンドレ・クルエ・グラン・クリュ・ブリュット・グラン・レゼルヴ","1009","1","1"
"Champagne / Montagne de Reims","シャンパーニュ地方 / モンターニュ・ド・ランス地区","1","1","Bouzy","ブジィ","S.A.","7800","André Clouet Grand Cru Silver Brut","アンドレ・クルエ・グラン・クリュ・シルヴァー・ブリュット","1010","1","1"
"Vallée de la Loire / Touraine","ロワール河流域  / トゥーレーヌ地区","1","1","Ch. de L'Aulée","シャトー・ドゥ・ローレ","S.A.","4800","Crémant de Loire Brut","クレマン・ドゥ・ロワール・ブリュット","1011","3","200"
"Niederösterreich / Kremstal","ニーダーエスタライヒ州 / クレムスタール地区","3","2","Weingut Müller-Grossmann","ヴァイングード・ミュラー・グロースマン","2011","4800","Kremstal Riesling Steiner Point","クレムスタール・リースリング・シュタイナー・ポイント","1012","19","0"
"Niederösterreich / Wagram","ニーダーエスタライヒ州 / ヴァーグラム地区","3","2","Weingut Mehofer-Neudeggerhof","ヴァイングード・メフォファー・ヌーデッジェホフ","2012","4800","Mehofer Alter Weingarten Gemischter Sats","メフォファー・アルター・ヴァインガルテン・ゲミシュター・サッツ","1013","19","0"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Georges Roumier","ドメーヌ・ジョルジュ・ルーミエ","2000","33000","Chambolle-Musigny ","シャンボール・ミュジニー","1014","11","219"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Robert Chevillon","ドメーヌ・ロベール・シュヴィヨン","2004","18400","Nuits-Saint-Georges 1er Cru les Vaucranins","ニュイ・サン・ジョルジュ・プルミエ・クリュ・レ・ヴォークラン","1015","11","234"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Truchot-Martin","ドメーヌ・トルショ・マルタン","1994","50000","Morey-Saint-Denis 1er Cru le Clos Sorbés","モレ・サン・ドニ・プルミエ・クリュ・ル・クロ・ソルベ","1016","11","218"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Drouhin Laroze","ドメーヌ・ドローアン・ラローズ","1983","50000","Chambertin Clos de Bèze Grand Cru","シャンベルタン・クロ・ド・ベズ・グラン・クリュ","1017","11","209"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Amiot Servelle","ドメーヌ・アミオ・セルヴェル","1990","39800","Chambolle-Musigny 1er Cru les Charmes","シャンボール・ミュジニー・プルミエ・クリュ・レ・シャルム","1018","11","220"
"Bourgogne / Côte de Nuits","ブルゴーニュ地方 / コート・ドゥ・ニュイ地区","5","1","Dom. Hubert Lignier","ドメーヌ・ユベール・リニエ","1992","44800","Charmes-Chambertin Grand Cru","シャルム・シャンベルタン・グラン・クリュ","1019","11","212"
"Bourgogne","ブルゴーニュ地方","5","1","Grivelet (Maison)","グリヴェレ（メゾン）","1971","12000","Bourgogne Pinot Noir","ブルゴーニュ・ピノ・ノワール","1020","11","700"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","5","1","Arthur Barolet","アーサー・バローレ","1959","60000","Clos Vougeot Grand Cru","クロ・ヴージョ・グラン・クリュ","1021","11","300"
"Bourgogne / Côte de Beaune","ブルゴーニュ地方 / コート・ドゥ・ボーヌ地区","5","1","Arthur Barolet","アーサー・バローレ","1959","60000","Vouvray","ヴォルネイ","1022","11","300"
